timeEDT,droneType,droneID,flightID,latitude,longitude,speed,Altitude (m),Home Longitude,Home Latitude,Pilot Longitude,Pilot Latitude
7/4/2021 0:22,Mavic 2 Enterprise,184,1205,33.05375189,-97.21003071,0.02236068,34.4,-97.2100078,33.05406702,0,0
7/4/2021 0:22,Mavic 2 Enterprise,184,1205,33.05343104,-97.210512,7.724143966,34.3,-97.2100078,33.05406702,0,0
7/4/2021 0:22,Mavic 2 Enterprise,184,1205,33.05343104,-97.210512,7.724143966,34.3,-97.2100078,33.05406702,0,0
7/4/2021 0:22,Mavic 2 Enterprise,184,1205,33.05337947,-97.2105693,2.016581265,34.5,-97.2100078,33.05406702,0,0
7/4/2021 0:22,Mavic 2 Enterprise,184,1205,33.05337947,-97.2105693,2.016581265,34.5,-97.2100078,33.05406702,0,0
7/4/2021 0:23,Mavic 2 Enterprise,184,1205,33.05298413,-97.2110162,6.674518709,34.4,-97.2100078,33.05406702,0,0
7/4/2021 0:24,Mavic Mini 2,373,577,32.99006763,-96.8301024,0.02,39.7,-96.83095038,32.9896551,-96.83119675,32.98975824
7/4/2021 0:24,Mavic 2 Enterprise,184,1346,33.05020528,-97.21004217,0.02236068,63.5,-97.2100078,33.05406702,0,0
7/4/2021 0:25,Mavic 2 Enterprise,184,1346,33.05243409,-97.20991039,0.14,59.9,-97.2100078,33.05406702,0,0
7/4/2021 0:25,Mavic 2 Enterprise,184,1346,33.05243409,-97.20991039,0.14,59.9,-97.2100078,33.05406702,0,0
7/4/2021 0:26,Mavic 2 Enterprise Advanced,535,1225,33.10337577,-96.9252535,0.02,21.6,-96.92479514,33.10340441,0,0
7/4/2021 0:29,Mavic 2 Enterprise Advanced,535,555,33.10360495,-96.92498994,0.031622777,21.6,-96.92479514,33.10340441,0,0
7/4/2021 0:30,Mavic 2 Enterprise Advanced,535,22,33.10360495,-96.92499567,0.02,21.5,-96.92479514,33.10340441,0,0
7/4/2021 0:31,Mavic 2 Enterprise Advanced,535,1324,33.10359922,-96.92499567,0.031622777,21.6,-96.92479514,33.10340441,0,0
7/4/2021 0:31,Mavic 2 Enterprise Advanced,535,22,33.10359922,-96.92499567,0.01,21.7,-96.92479514,33.10340441,0,0
7/4/2021 0:33,Mavic 2 Enterprise Advanced,535,44,33.10359922,-96.92499567,0,21.7,-96.92479514,33.10340441,0,0
7/4/2021 0:33,Mavic 2 Enterprise Advanced,535,743,33.10359922,-96.92499567,0.02,21.6,-96.92479514,33.10340441,0,0
7/4/2021 0:34,Mavic 2 Enterprise Advanced,535,743,33.10359922,-96.92498994,0,21.6,-96.92479514,33.10340441,0,0
7/4/2021 0:39,unknow,536,1439,32.7283232,-97.4078843,0,184.5,-97.4077468,32.7292629,,
7/4/2021 0:42,Mavic 2 Enterprise Advanced,535,657,33.10317523,-96.92541393,0.04472136,23.7,-96.92481805,33.10341014,0,0
7/4/2021 0:46,Mavic 2 Enterprise Advanced,535,1020,33.10302053,-96.92543685,0.01,23.8,-96.92481805,33.10341014,0,0
7/4/2021 0:46,Mavic 2 Enterprise Advanced,535,1020,33.10302053,-96.92543112,0.21023796,23.8,-96.92481805,33.10341014,0,0
7/4/2021 0:47,Mavic 2 Enterprise Advanced,535,1020,33.10294032,-96.92519048,0.742495791,23.7,-96.92481805,33.10341014,0,0
7/4/2021 0:59,P3SE,8,313,32.93576269,-97.38435885,2.086072865,52.5,0,0,0,0
7/4/2021 1:02,Mavic Mini 2,358,1544,32.96926927,-96.91114728,0.028284271,60,-96.91114728,32.96928072,-96.91114728,32.96925781
7/4/2021 1:02,Mavic Mini 2,358,1544,32.96926927,-96.91114728,0.01,60,-96.91114728,32.96928072,-96.91114728,32.96925781
7/4/2021 1:03,Mavic Mini 2,358,1544,32.96927499,-96.91114728,0.080622577,60.1,-96.91114728,32.96928072,-96.91114728,32.96928072
7/4/2021 1:03,Mavic Mini 2,358,1544,32.96927499,-96.91114728,0.053851648,60.1,-96.91114728,32.96928072,-96.91114728,32.96928072
7/4/2021 1:03,Mavic Mini 2,358,1544,32.96926927,-96.91114728,0.02236068,60,-96.91114728,32.96928072,-96.91114728,32.96929218
7/4/2021 1:03,Mavic Mini 2,358,1544,32.96926927,-96.91114728,0.02236068,60,-96.91114728,32.96928072,-96.91114728,32.96929218
7/4/2021 1:03,Mavic Mini 2,358,1544,32.96926927,-96.91114728,0.028284271,60,-96.91114728,32.96928072,-96.91114728,32.96929218
7/4/2021 1:03,Mavic Mini 2,358,1544,32.96926927,-96.91114728,0.01,60,-96.91114728,32.96928072,-96.91114728,32.96929218
7/4/2021 1:03,Mavic Mini 2,358,1544,32.96927499,-96.91114728,0.01,60.1,-96.91114728,32.96928072,-96.91114728,32.96929218
7/4/2021 1:03,Mavic Mini 2,358,1544,32.96927499,-96.91114728,0.014142136,59.9,-96.91114728,32.96928072,-96.91113582,32.96929218
7/4/2021 1:03,Mavic Mini 2,358,1544,32.96927499,-96.91114728,0.036055513,60.1,-96.91114728,32.96928072,-96.91113582,32.96929218
7/4/2021 1:03,Mavic Mini 2,358,1544,32.96927499,-96.91114728,0.01,60.1,-96.91114728,32.96928072,-96.91113582,32.96929218
7/4/2021 1:05,Mavic Mini 2,358,691,32.96926927,-96.91114728,0,60,-96.91114728,32.96928072,-96.91113582,32.96928072
7/4/2021 1:07,Mavic Mini 2,358,684,32.96927499,-96.91114728,0.02,94.5,-96.91114728,32.96928072,-96.91112436,32.96927499
7/4/2021 1:07,Mavic Mini 2,358,684,32.96929791,-96.91111863,0.04,45.2,-96.91114728,32.96928072,-96.91110144,32.96925208
7/4/2021 1:11,Mavic Mini 2,433,640,32.77025238,-97.19205703,0.031622777,27.2,-97.19205703,32.77025238,-97.19212578,32.77017216
