,timeEDT,flightID,latitude,longitude,speed,altitude_m,radius,phi,theta,distance,timeInterval,avgSpeed
0,76307,1,33.1352837867124,-96.9053202998803,0.0223606797749978,47.5,6378184.5,1.4502757516571831,2.1491161274557227,72.70284124434203,46.0,1.580496548790044
1,76353,1,33.1352895162904,-96.9053202998803,0.0282842712474619,120.2,6378257.2,1.4502757516571831,2.1491162274557234,0.0,,
2,71690,2,33.0164351511326,-97.1935008824266,12.8425581563799,61.7,6378198.7,1.445246051651435,2.147041827453352,89.31956322665265,9.0,9.924395914072516
3,71699,2,33.0161486722347,-97.194394696588,11.3995482366627,61.7,6378198.7,1.4452304516514174,2.1470368274533462,245.85539449033857,24.0,10.243974770430773
4,71723,2,33.0139485142989,-97.1941655134697,12.1284335344676,61.6,6378198.6,1.445234451651422,2.146998427453303,0.0,,
5,80842,3,32.9616947633233,-97.0896179044727,14.9608321961046,119.3,6378256.3,1.447059151653507,2.146086427452261,0.0,2.0,0.0
6,80844,3,32.9616947633233,-97.0896179044727,14.9608321961046,119.3,6378256.3,1.447059151653507,2.146086427452261,59.58777664085144,17.0,3.5051633318147903
7,80861,3,32.9620098901109,-97.0891366199242,0.0,136.6,6378273.6,1.4470675516535174,2.1460919274522663,0.1767766952966369,6.0,0.029462782549439483
8,80867,3,32.9620098901109,-97.0891366199242,0.01,136.4,6378273.4,1.4470675516535174,2.1460919274522663,2.4937421679075005,6.0,0.4156236946512501
9,80873,3,32.961998430955,-97.0891595382361,2.57256681157166,136.4,6378273.4,1.4470671516535158,2.146091727452266,135.5130298163243,16.0,8.469564363520268
10,80889,3,32.9612707745544,-97.0903226425615,6.51878056081043,136.6,6378273.6,1.4470468516534931,2.1460790274522523,4.328322423295196,46.0,0.09409396572380861
11,80935,3,32.9612650449764,-97.0903684791852,0.0141421356237309,136.6,6378273.6,1.4470460516534918,2.1460789274522516,0.125,6.0,0.020833333333333332
12,80941,3,32.9612650449764,-97.0903684791852,0.0141421356237309,136.5,6378273.5,1.4470460516534918,2.1460789274522516,0.0,4.0,0.0
13,80945,3,32.9612650449764,-97.0903684791852,0.0282842712474619,136.5,6378273.5,1.4470460516534918,2.1460789274522516,0.0,16.0,0.0
14,80961,3,32.9612650449764,-97.0903684791852,0.05,136.5,6378273.5,1.4470460516534918,2.1460789274522516,0.0,10.0,0.0
15,80971,3,32.9612650449764,-97.0903684791852,0.0412310562561766,136.4,6378273.4,1.4470460516534918,2.1460789274522516,0.0,4.0,0.0
16,80975,3,32.9612650449764,-97.0903684791852,0.0282842712474619,136.5,6378273.5,1.4470460516534918,2.1460789274522516,0.0,6.0,0.0
